,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var5(t-1),var6(t-1),var7(t-1),var8(t-1),var1(t)
1,0.09920846,0.2794118,0.13114753,0.545454,0.33333334,0.0022900114,0.0,0.0,0.09920846
2,0.09920846,0.2794118,0.114754096,0.5272732,0.33333334,0.0076390677,0.0,0.0,0.09920846
3,0.09920846,0.2794118,0.13114753,0.5090904,0.33333334,0.010698112,0.0,0.0,0.09920846
4,0.09920846,0.2794118,0.081967205,0.5090904,0.33333334,0.016047169,0.0,0.0,0.09920846
5,0.09920846,0.29411766,0.114754096,0.49090958,0.33333334,0.021396225,0.0,0.0,0.09920846
6,0.09920846,0.30882356,0.14754099,0.47272682,0.33333334,0.026745282,0.0,0.0,0.09920846
7,0.09920846,0.30882356,0.16393442,0.47272682,0.33333334,0.032094337,0.0,0.0,0.09920846
8,0.09920846,0.30882356,0.16393442,0.47272682,0.33333334,0.03515338,0.0,0.0,0.09920846
9,0.09920846,0.30882356,0.16393442,0.47272682,0.33333334,0.040502436,0.0,0.0,0.09920846
10,0.09920846,0.29411766,0.18032786,0.47272682,0.33333334,0.045851495,0.0,0.0,0.09920846
11,0.09920846,0.30882356,0.1967213,0.47272682,0.33333334,0.052721526,0.0,0.0,0.09920846
12,0.09920846,0.32352942,0.22950819,0.47272682,0.33333334,0.058070585,0.0,0.0,0.09920846
13,0.09920846,0.30882356,0.22950819,0.43636322,0.33333334,0.06341964,0.0,0.0,0.09920846
14,0.09920846,0.32352942,0.26229507,0.43636322,0.33333334,0.068768695,0.0,0.0,0.09920846
15,0.09920846,0.32352942,0.27868852,0.41818237,0.33333334,0.07411775,0.0,0.0,0.09920846
16,0.09920846,0.32352942,0.29508194,0.41818237,1.0,0.00075194397,0.0,0.0,0.09920846
17,0.09920846,0.30882356,0.27868852,0.43636322,0.33333334,0.0022900114,0.0,0.0,0.09920846
18,0.09920846,0.32352942,0.26229507,0.43636322,0.33333334,0.0038109892,0.0,0.0,0.09920846
19,0.09920846,0.32352942,0.22950819,0.45454597,0.0,0.0022900114,0.0,0.0,0.09920846
20,0.09920846,0.33823532,0.24590163,0.47272682,0.33333334,0.0022900114,0.0,0.0,0.09920846
21,0.09920846,0.33823532,0.22950819,0.47272682,1.0,0.00075194397,0.0,0.0,0.09920846
22,0.09920846,0.33823532,0.22950819,0.49090958,0.33333334,0.0022900114,0.0,0.0,0.09920846
23,0.09920846,0.33823532,0.22950819,0.49090958,0.33333334,0.0038109892,0.0,0.0,0.09920846
24,0.09920846,0.33823532,0.22950819,0.5272732,1.0,0.00075194397,0.0,0.0,0.12977867
25,0.12977867,0.35294122,0.24590163,0.5272732,0.6666667,0.0022900114,0.0,0.0,0.14889336
26,0.14889336,0.36764708,0.24590163,0.5272732,0.6666667,0.0038109892,0.0,0.0,0.15995975
27,0.15995975,0.4264706,0.22950819,0.545454,0.6666667,0.0053319666,0.0,0.0,0.18209255
28,0.18209255,0.48529413,0.22950819,0.5636368,0.6666667,0.0083910115,0.037037037,0.0,0.13883299
29,0.13883299,0.48529413,0.22950819,0.5636368,0.6666667,0.009911989,0.074074075,0.0,0.10965794
30,0.10965794,0.48529413,0.21311474,0.5636368,0.6666667,0.011432966,0.11111111,0.0,0.1056338
31,0.1056338,0.48529413,0.21311474,0.5818176,0.6666667,0.014492012,0.14814815,0.0,0.12474848
