神探夏洛克官方指南（1-3季）（BBC正版授权，完全原版复刻，英国神剧创作书第二弹）,2016年01月,史蒂夫特赖布,百花洲文艺出版社,69.8,"当当独家精美海报护封版（第1-3季幕后制作全纪录,揭秘21世纪福尔摩斯诞生之谜;幕后主创团队全面创作手记首度公开500多张概念剧照、150多篇创意手稿、删减片段、背景布置、戏服设计等等，剧迷们不可 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>"
片寄凉太写真集 Goodbye，white,2018年08月,片寄凉太,浙江人民美术出版社,59.8,天闻角川出品：赠品：明信片两张，计入官方销量 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
下一站，影帝,2016年10月,青罗扇子,花山文艺出版社,32.0,大神青罗扇子又一万众惊呼作品，精彩无限升级！三流经纪人PK娱乐公司操盘手，谁能捧出天王天后？ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
幻城剧版完全指南：幕后及官方艺术设定集—（宋茜双封面预售限量版）,2016年07月,耀客传媒,沈阳出版社,149.1,她是冰雪之下的芽，是温柔春波之下的礁。超值赠送宋茜经典语录明信片一套！7月燃爆一夏！国内特效电视剧标杆之作！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
青云志写真集,2016年09月,欢瑞世纪,中国广播影视出版社,48.9,诛仙出世 傲看青云 李易峰、赵丽颖、杨紫领衔主演 电视剧官方授权，随书附赠主演明信片一套！PS：还有额外附赠超大海报哦~！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
《麻雀》图文典藏版,2016年10月,千乘影视股份有限公司,中国广播影视出版社,28.6, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
勇敢远行，在我们老去之前,2014年01月,陈彦妃,世界知识出版社,41.4, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
《随峰成长》李易峰写真集  终极仙侠 问鼎青云  男神收割本！！！,2016年10月,欢瑞世纪,中国广播影视出版社,37.4,收录剧中大量李易峰个人精美的剧照和海报，更重要的是有李易峰独家的专访哦！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
苏志燮·只有你 : 一个演员进入角色之路,2016年01月,苏志燮,百花洲文艺出版社,38.1,当当独家海报护封版（苏志燮亲自执笔，800多张独家片场照片，90多天进入角色的真实记录）（美颜、腹肌、汗水、伤疤、温柔、冷萌，“韩国暖男大叔”苏志燮主演电影《只有你》独家感悟）儒意图书 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
【正版】 谢娜写的书：娜写年华+娜么快乐//影视娱乐明星主持人个人传记写真集书籍倾国倾城恨有余何炅李维嘉汪杜海涛吴昕,2013年11月,彭妮,重庆出版社,61.2, 
兰陵王影像书,2013年10月,玉春雷娱乐文创,世界知识出版社,33.7, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
爵迹套装（雾雪零尘+永生之海）,2016年08月,郭敬明,湖南文艺出版社,69.6,全新《爵迹》荣耀再现，悬念更迭，感官震撼，剧情重置，王者归来。 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
那年冬天，风在吹（宋慧乔、赵寅成主演，韩国SBS电视台独家正版授权，唯美韩剧诚意之作，《那年冬天，风在吹》仅有的官方写真影集，随书附赠精美明信片、珍藏版大幅海报）,2014年07月,卢熙京,百花洲文艺出版社,85.7, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
女不强大天不容,2016年06月,上海耀客传媒股份有限公司,中国广播影视出版社,28.6, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
神探夏洛克（BBC唯一正版授权，前两季深度剖析，第三季深度预测）,2013年08月,盖·亚当斯,江苏文艺出版社,39.5, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
现货】书海沧生的书 同学录1+2 全套 青春文学言情校园爱情读物都市情感小说书籍十年一品温如言 昭奚旧草作者你好旧时光回眸一笑同类当当网,2018年07月,书海沧生,百花洲文艺出版社,78.8, 
【现货赠送精美写真】正版 十八 18 欧阳娜娜新书 I am NaNa 成为x好的自己:欧阳娜娜的音乐冒险 影视偶像 明星书 大主宰 王源,2019年02月,欧阳娜娜,中国友谊出版公司,51.3, 
十九岁的时差 tfboys王俊凯新书19岁青春都市言情明星写真自传2023非虚构成长天坑鹰猎少年的你如此美丽解忧杂货店演影视原著小说,2019年02月,王俊凯,无,78.2, 
现货 孤芳不自赏上下全2册 钟汉良Angelababy主演电视剧原著小说 凤于九天作者风弄著作 古典爱情言情小说青春文学,2017年01月,风弄,朝华出版社,44.0,上下全2册 热播电视剧 原著小说 
十月围城.官方影像书,2014年03月,博纳影业,中国电影出版社,35.8, 
幻城剧版完全指南：幕后及官方艺术设定集（通售版）,2016年07月,耀客传媒,沈阳出版社,149.1,冯绍峰、宋茜、马天宇、张萌、麦迪娜、金喜善领衔主演，7月燃爆一夏！国内特效电视剧标杆之作！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
